nickname,listingId,tax_rate_pct,useAccountTaxes,n_taxes
Cottage 10,65780dafad4b3c00225257cf,11.9,False,2
Cottage 11 (tiny),668422ad453990001256d911,11.9,False,2
Cottage 12,679ecef6edca8d0012b60939,11.9,False,2
Cottage 2,65780db15fc87a0013b38424,11.9,False,2
Cottage 3,65780db3a50cef001c2f2b40,11.9,False,2
Cottage 4,65780db55fc87a0013b38716,11.9,False,2
Cottage 5,65780db75fc87a0013b38a08,11.9,False,2
Cottage 6,65780db902e9970010fbad85,11.9,False,2
Cottage 7,65780dbbad4b3c0022525ada,11.9,False,2
Cottage 8,65780dbd02e9970010fbb077,11.9,False,2
Cottage 9,65780dbfad4b3c0022525dcc,11.9,False,2
Kirkland 13070,69ec98b6807210001597814b,12.5,False,4
Sammamish 5124-2,6905a6c2c401e2001227f844,0,True,0
Elektra 1212,69e5c1d9e648350013657b92,15.7,False,4
Auburn 29123,66a2e2a578840f00120ea93c,0,True,0
Seattle 7434,69bd2e7acc280b001423546d,15.7,False,4
Redmond 14707,68acbdb417d830001192e8a2,12.5,False,4
Cottage 1,65737ab386ea7d0013b2c3d7,11.9,False,2
Seattle 1117,65a043ed5c74340013fc5ffd,15.7,False,4
Seattle 1512,63fcef0d1afdba00352c53ae,15.7,False,4
Bellevue 2323 Whole,6a182562e5b3df0015ea834f,14.5,False,4
Bellevue 321,68655d4b83d9cd00350c81de,14.5,False,4
Bellevue 10409,664d34674fe18b0012268a97,14.5,False,4
Bellevue 2323 ADU,6a182decfb89e4001459873b,14.5,False,4
Bellevue 2323 Main,6a182b9d5143520014f06a58,14.5,False,4
Bellevue 4551,63fceb731afdba00352ba86c,14.5,False,4
Bellevue 514,63fce903956100004124e4d5,14.5,False,4
Burien 14407 middle,65e8d48ae0d2100012585beb,12.5,False,4
Burien 14407 top,65e8d48c9ce9fa0012b5509a,12.5,False,4
Beachwood 9,66a13eb943e33a0030cae6b4,15.7,False,4
Elektra 703,63fceb4995610000412523c5,15.7,False,4
Microsoft 14620-E205,63fcebaae683b4003d2824aa,14.5,False,4
Elektra 1203,69323858b30f850011887f9e,15.7,False,4
Yacinde F1,6a5431ac3cc0fa00112d37d4,10.5,False,3
Sammamish 2009,65ed2d219ce9fa0012c850c5,12.5,False,4
Beachwood 3,652db25cd6130500348802ab,15.7,False,4
Seattle 10057 Upper,68e41a88bfc43a002ada1f4c,15.7,False,4
Hoquiam 21,66a2e293972ece00110dd9c5,0,True,0
Seattle 906,680c01322ebb390011a804c3,15.7,False,4
Seattle 1623,648de9f07b64cc005e921b33,15.7,False,4
Yacinde E3,6a373ba1dcac1a00138bf739,10.5,False,3
Elektra 1413,6a156bf0ff3c1b0013711602,15.7,False,4
Elektra 1204,6941959b8a60c800159efc84,0,True,0
Elektra 1305,6636a3284efc8c0013b98b23,15.7,False,4
