code,name,qbo_class_id,qbo_class_name,term,active
bainbridge_11143,Bainbridge 11143,689692,Listings:Bainbridge 11143,STR,TRUE
beachwood,Beachwood,2100000000001794669,Listings:Beachwood,,TRUE
beachwood_1,Beachwood 1,2100000000001492202,Listings:Beachwood 1,LTR,TRUE
beachwood_10,Beachwood 10,2100000000001492176,Listings:Beachwood 10,LTR,TRUE
beachwood_2,Beachwood 2,2100000000001764898,Listings:Beachwood 2,LTR,TRUE
beachwood_3,Beachwood 3,2100000000001514510,Listings:Beachwood 3,LTR,TRUE
beachwood_4,Beachwood 4,517130,Listings:Beachwood 4,LTR,TRUE
beachwood_5,Beachwood 5,2100000000001590423,Listings:Beachwood 5,LTR,TRUE
beachwood_6,Beachwood 6,517494,Listings:Beachwood 6,,TRUE
beachwood_7,Beachwood 7,2100000000001769601,Listings:Beachwood 7,LTR,TRUE
beachwood_8,Beachwood 8,2100000000001514509,Listings:Beachwood 8,LTR,TRUE
beachwood_9,Beachwood 9,2100000000001793399,Listings:Beachwood 9,LTR,TRUE
bellevue_10409,Bellevue 10409,2100000000001813930,Listings:Bellevue 10409,STR,TRUE
bellevue_13020,Bellevue 13020,2100000000001492189,Listings:Bellevue 13020,,TRUE
bellevue_1326,Bellevue 1326,2100000000001736182,Listings:Bellevue 1326,STR,TRUE
bellevue_1420,Bellevue 1420,627552,Listings:Bellevue 1420,STR,TRUE
bellevue_14507,Bellevue 14507,2100000000001640665,Listings:Bellevue 14507,LTR,TRUE
bellevue_14507_unit_1,Bellevue 14507 Unit 1,2100000000001640666,Listings:Bellevue 14507:Bellevue 14507 Unit 1,LTR,TRUE
bellevue_14507_unit_2,Bellevue 14507 Unit 2,2100000000001640667,Listings:Bellevue 14507:Bellevue 14507 Unit 2,LTR,TRUE
bellevue_14507_unit_3,Bellevue 14507 Unit 3,2100000000001640668,Listings:Bellevue 14507:Bellevue 14507 Unit 3,LTR,TRUE
bellevue_14507_unit_4,Bellevue 14507 Unit 4,2100000000001640669,Listings:Bellevue 14507:Bellevue 14507 Unit 4,LTR,TRUE
bellevue_1621,Bellevue 1621,2100000000001492197,Listings:Bellevue 1621,STR,TRUE
bellevue_2243,Bellevue 2243,510199,Listings:Bellevue 2243,STR,TRUE
bellevue_2323,Bellevue 2323,1000000011,Listings:Bellevue 2323,STR,TRUE
bellevue_2323_adu,Bellevue 2323 ADU,1000000014,Listings:Bellevue 2323 ADU,STR,TRUE
bellevue_2323_main,Bellevue 2323 Main,1000000013,Listings:Bellevue 2323 Main,STR,TRUE
bellevue_242,Bellevue 242,544835,Listings:Bellevue 242,STR,TRUE
bellevue_321,Bellevue 321,637578,Listings:Bellevue 321,STR,TRUE
bellevue_514,Bellevue 514,2100000000001492154,Listings:Bellevue 514,STR,TRUE
bellevue_601,Bellevue 601,2100000000001673559,Listings:Bellevue 601,,TRUE
bellevue_701,Bellevue 701,695031,Listings:Bellevue 701,STR,TRUE
burien_14407,Burien 14407,burien_14407_rollup,Listings:Burien 14407,STR,TRUE
burien_14407_middle,Burien 14407 Middle,2100000000001755154,Listings:Burien 14407 Middle,STR,TRUE
burien_14407_top,Burien 14407 Top,2100000000001755153,Listings:Burien 14407 Top,STR,TRUE
edmonds_7819,Edmonds 7819,677869,Listings:Edmonds 7819,LTR,TRUE
elektra_1004,Elektra 1004,2100000000001492211,Listings:Elektra 1004,STR,TRUE
elektra_1108,Elektra 1108,2100000000001492212,Listings:Elektra 1108,STR,TRUE
elektra_1115,Elektra 1115,2100000000001492167,Listings:Elektra 1115,STR,TRUE
elektra_1203,Elektra 1203,706489,Listings:Elektra 1203,STR,TRUE
elektra_1212,Elektra 1212,1000000008,Listings:Elektra 1212,STR,TRUE
elektra_1305,Elektra 1305,2100000000001795968,Listings:Elektra 1305,STR,TRUE
elektra_1413,Elektra 1413,1000000012,Listings:Elektra 1413,STR,TRUE
elektra_703,Elektra 703,2100000000001492155,Listings:Elektra 703,STR,TRUE
elektra_809,Elektra 809,2100000000001492201,Listings:Elektra 809,STR,TRUE
hoodsport_26060,Hoodsport 26060,2100000000001492203,Listings:Hoodsport 26060,STR,TRUE
issaquah_2642,Issaquah 2642,2100000000001492163,Listings:Issaquah 2642,,TRUE
keaau_15_1542,Keaau 15-1542,2100000000001767130,Listings:Keaau 15-1542,STR,TRUE
kirkland_11321,Kirkland 11321,2100000000001701500,Listings:Kirkland 11321,STR,TRUE
kirkland_13070,Kirkland 13070,1000000010,Listings:Kirkland 13070,STR,TRUE
kirkland_8017,Kirkland 8017,588892,Listings:Kirkland 8017,STR,TRUE
lake_stevens_7626,Lake Stevens 7626,618434,Listings:Lake Stevens 7626,LTR,TRUE
lilliwaup_28610,Lilliwaup 28610,2100000000001492204,Listings:Lilliwaup 28610,STR,TRUE
longbranch_6821,Longbranch 6821,2100000000001492172,Listings:Longbranch 6821,STR,TRUE
lynnwood_17506,Lynnwood 17506,1000000016,Listings:Lynnwood 17506,STR,TRUE
mercer_2449,Mercer 2449,2100000000001491551,Listings:Mercer 2449,LTR,TRUE
mercer_3627,Mercer 3627,2100000000001492206,Listings:Mercer 3627,,TRUE
mercer_3627_adu,Mercer 3627 ADU,2100000000001492208,Listings:Mercer 3627 ADU,STR,TRUE
mercer_3627_lower,Mercer 3627 Lower,1000000009,Listings:Mercer 3627 Lower,STR,TRUE
mercer_3627_main,Mercer 3627 Main,2100000000001492207,Listings:Mercer 3627 Main,,TRUE
mercer_3925,Mercer 3925,689691,Listings:Mercer 3925,STR,TRUE
microsoft_14615_d303,Microsoft 14615-D303,2100000000001492166,Listings:Microsoft 14615-D303,STR,TRUE
microsoft_14620_e205,Microsoft 14620-E205,2100000000001492156,Listings:Microsoft 14620-E205,STR,TRUE
microsoft_14645_c19,Microsoft 14645-C19,2100000000001492169,Listings:Microsoft 14645-C19,STR,TRUE
osbr,OSBR,2100000000001547055,Listings:OSBR,STR,TRUE
osbr_1,OSBR 1,2100000000001770304,Listings:OSBR 1,STR,TRUE
osbr_10,OSBR 10,2100000000001547340,Listings:OSBR 10,STR,TRUE
osbr_11,OSBR 11,515449,Listings:OSBR 11,STR,TRUE
osbr_12,OSBR 12,590693,Listings:OSBR 12,STR,TRUE
